price,region,address,bedrooms,bathrooms
549900,"Clarington, ON","6 LIBERTY ST S, Clarington, Ontario",3,1
849900,"Clarington, ON","38 FOXHUNT TR, Clarington, Ontario",4,3
799999,"Clarington, ON","45 EDGERTON DR, Clarington, Ontario",3,3
999900,"Clarington, ON","10 HENRY SMITH AVE, Clarington, Ontario",4,3
1900000,"Clarington, ON","22 BICE CRT, Clarington, Ontario",3,3
1499990,"Clarington, ON","134 AUBURN CRT, Clarington, Ontario",4,4
699000,"Clarington, ON","30 KINGSVIEW CRT, Clarington, Ontario",3,4
1099999,"Clarington, ON","266 KENNETH COLE DR, Clarington, Ontario",4,4
799000,"Clarington, ON","71 FRY CRES, Clarington, Ontario",3,3
1779900,"Clarington, ON","92 PERRY AVE, Clarington, Ontario",4,3
849900,"Clarington, ON","30 CAREY LANE, Clarington, Ontario",3,3
1000000,"Clarington, ON","4020 WALSH RD, Clarington, Ontario",3,3
899900,"Clarington, ON","71 CROWS NEST LANE, Clarington, Ontario",3,3
1699990,"Clarington, ON","LOT 2 COURVIER CRES, Clarington, Ontario",4,4
899900,"Clarington, ON","21 AUBURN LANE, Clarington, Ontario",4,3
999900,"Clarington, ON","1 GIMBLETT ST, Clarington, Ontario",2,3
1100000,"Clarington, ON","29 PINEDALE CRES, Clarington, Ontario",4,4
1299000,"Clarington, ON","262 KENNETH COLE DR, Clarington, Ontario",4,4
999900,"Clarington, ON","267 SWINDELLS ST, Clarington, Ontario",3,4
899900,"Clarington, ON","3958 HIGHWAY 2, Clarington, Ontario",3,1
795900,"Clarington, ON","132 HIGH ST, Clarington, Ontario",3,2
1150000,"Clarington, ON","34 CLARINGTON BLVD, Clarington, Ontario",3,3
2499900,"Clarington, ON","3620 OLD SCUGOG RD, Clarington, Ontario",5,4
799000,"Clarington, ON","86 LARKIN Lane, Bowmanville, Ontario",3,3
879900,"Clarington, ON","28 KATERSON LANE, Clarington, Ontario",3,2
1499999,"Clarington, ON","185 DOUGLAS KEMP CRES, Clarington, Ontario",4,4
799000,"Clarington, ON","86 LARKIN LANE, Clarington, Ontario",3,3
549900,"Clarington, ON","147 COVE RD, Clarington, Ontario",2,0
