price,region,address,bedrooms,bathrooms
749900,4,"80 CAMERON ST, Brock, Ontario",4,2
599900,4,"310 LAKELAND CRES, Brock, Ontario",3,2
699000,4,"40658 SHORE Road, Beaverton, Ontario",4,1
589900,4,"140 LAIDLAW ST S, Brock, Ontario",3,1
699000,4,"40658 SHORE RD, Brock, Ontario",4,1
2998000,4,"31750 SIMCOE ST, Brock, Ontario",3,4
1500000,4,"24255 SIDEROAD 17 RD, Brock, Ontario",4,3
799000,4,"4 ART WELSH LANE, Brock, Ontario",3,3
899000,4,"111 TERRY CLAYTON AVE, Brock, Ontario",4,4
999900,4,"133 TERRY CLAYTON AVE, Brock, Ontario",4,3
899000,4,"111 TERRY CLAYTON Avenue, Beaverton, Ontario",4,4
989000,4,"420 CENTRE ST, Brock, Ontario",3,4
749900,4,"264 CHURCH ST, Brock, Ontario",3,2
999900,4,"52 POLLOCK AVE, Brock, Ontario",3,3
679900,4,"517 HIGHLAND CRES, Brock, Ontario",3,3
1690000,4,"C205 DURHAM REG RD 12, Brock, Ontario",5,2
935000,4,"16 DON HADDEN CRES, Brock, Ontario",3,3
1450000,4,"16970 SIDEROAD 18A RD, Brock, Ontario",0,0
989000,4,"672 SIMCOE ST, Brock, Ontario",3,2
1299000,4,"3 PATRICIA CRES, Brock, Ontario",4,4
799999,4,"17 LAIDLAW ST S, Brock, Ontario",7,2
2700000,4,"690 THORAH CONCESSION 2 RD, Brock, Ontario",4,3
479000,4,"40630 & 40632 SHORE RD, Brock, Ontario",3,2
4750000,4,"735 CONCESSION 9 RD, Brock, Ontario",4,3
599900,22,"58 WAVERLY ST S, Oshawa, Ontario",3,2
700000,22,"1138 WAKEFIELD CRES, Oshawa, Ontario",3,1
499000,22,"60 BROCK ST E, Oshawa, Ontario",3,3
799000,22,"759 ADELAIDE AVE, Oshawa, Ontario",3,2
549000,22,"#41 -350 CAMELOT CRT, Oshawa, Ontario",3,2
899900,22,"180 SHERWOOD AVE, Oshawa, Ontario",3,2
1159000,22,"419 COMPTON CRES, Oshawa, Ontario",3,4
899900,22,"1427 ASHGROVE CRES, Oshawa, Ontario",3,4
1099000,22,"1120 TALL PINE AVE, Oshawa, Ontario",3,4
1399999,22,"344 NINA CRT, Oshawa, Ontario",4,4
699900,22,"211 MADAWASKA AVE, Oshawa, Ontario",3,1
1025000,22,"433 MILTON ST, Oshawa, Ontario",3,2
779000,22,"157 CENTRE ST S, Oshawa, Ontario",3,3
999000,22,"1335 CRONK CRT, Oshawa, Ontario",3,4
529999,22,"#416 -1800 SIMCOE ST N, Oshawa, Ontario",3,3
769900,22,"#37 -811 WILSON RD N, Oshawa, Ontario",3,2
679999,22,"115 WAYNE AVE, Oshawa, Ontario",3,2
1100000,22,"851 FLORELL DR, Oshawa, Ontario",3,2
789000,22,"168 ANNIS ST, Oshawa, Ontario",3,3
749000,22,"1052 SOUTHPORT DR, Oshawa, Ontario",3,3
599000,22,"126 VANCOUVER ST, Oshawa, Ontario",3,2
1025000,22,"433 MILTON Street, Oshawa, Ontario",3,2
679999,22,"115 WAYNE Avenue, Oshawa, Ontario",3,2
727777,22,"#5 -33 TAUNTON RD E, Oshawa, Ontario",2,2
899900,22,"1720 RADCLIFFE DR, Oshawa, Ontario",3,3
1549000,22,"554 WINDFIELDS FARM DR W, Oshawa, Ontario",4,5
888888,22,"89 SARITA PATH, Oshawa, Ontario",3,3
949000,22,"528 GRANDVIEW ST S, Oshawa, Ontario",3,2
899900,22,"853 CAPRI CRT, Oshawa, Ontario",3,2
549900,22,"#44 -1300 OXFORD ST, Oshawa, Ontario",3,2
999000,22,"1657 ERINDALE CRES, Oshawa, Ontario",3,4
649900,22,"#100 -1330 TROWBRIDGE DR E, Oshawa, Ontario",3,2
849900,22,"811 GLENRUSH ST, Oshawa, Ontario",2,2
999000,22,"1657 ERINDALE Crescent, Oshawa, Ontario",3,4
899000,22,"1644 SARASOTA CRES, Oshawa, Ontario",3,4
975000,22,"944 GRANDVIEW ST N, Oshawa, Ontario",4,4
879000,22,"202 COSGROVE DR, Oshawa, Ontario",4,3
1499000,22,"2292 SECRETO DR, Oshawa, Ontario",4,3
975000,22,"42 SUNSET DR, Oshawa, Ontario",5,4
999999,22,"914 TRADDLES AVE, Oshawa, Ontario",4,4
749900,22,"365 ARTHUR ST, Oshawa, Ontario",3,2
699900,22,"316 WALMER RD, Oshawa, Ontario",2,2
